Date,Price,Open,High,Low,Vol.,Change %
2016-11-01,"5,440.50","5,317.70","5,520.90","5,052.10",15.05B,2.31%
2016-10-01,"5,317.70","5,435.90","5,498.00","5,261.40",12.20B,-2.17%
2016-09-01,"5,435.90","5,433.00","5,473.30","5,192.20",13.84B,0.05%
2016-08-01,"5,433.00","5,562.40","5,611.20","5,412.60",13.19B,-2.33%
2016-07-01,"5,562.40","5,233.40","5,570.40","5,148.70",11.52B,6.29%
2016-06-01,"5,233.40","5,378.60","5,392.50","5,051.00",13.81B,-2.70%
2016-05-01,"5,378.60","5,252.20","5,427.70","5,182.20",13.76B,2.41%
2016-04-01,"5,252.20","5,082.80","5,281.60","4,893.50",11.62B,3.33%
2016-03-01,"5,082.80","4,880.90","5,216.20","4,868.10",14.68B,4.14%
2016-02-01,"4,880.90","5,005.50","5,073.00","4,706.70",14.98B,-2.49%
2016-01-01,"5,005.50","5,295.90","5,331.40","4,803.90",11.39B,-5.48%
2015-12-01,"5,295.90","5,166.50","5,325.80","4,909.60",13.50B,2.50%
2015-11-01,"5,166.50","5,239.40","5,313.70","4,979.20",13.83B,-1.39%
2015-10-01,"5,239.40","5,021.70","5,384.80","5,021.70",12.94B,4.34%
2015-09-01,"5,021.60","5,207.00","5,221.10","4,918.40",16.09B,-3.56%
2015-08-01,"5,207.00","5,699.20","5,727.70","4,928.30",15.46B,-8.64%
2015-07-01,"5,699.20","5,455.40","5,718.90","5,383.70",12.86B,4.40%
2015-06-01,"5,459.00","5,777.20","5,777.20","5,390.50",14.04B,-5.51%
2015-05-01,"5,777.20","5,790.00","5,901.80","5,574.60",13.17B,-0.22%
2015-04-01,"5,790.00","5,891.50","5,996.40","5,749.90",11.18B,-1.72%
2015-03-01,"5,891.50","5,928.80","5,996.90","5,748.70",15.21B,-0.63%
2015-02-01,"5,928.80","5,588.30","5,955.50","5,588.30",14.49B,6.09%
2015-01-01,"5,588.30","5,411.00","5,619.50","5,267.40",11.71B,3.28%
2014-12-01,"5,411.00","5,313.00","5,486.70","5,142.80",13.20B,1.84%
2014-11-01,"5,313.00","5,526.60","5,550.30","5,292.90",11.45B,-3.86%
2014-10-01,"5,526.60","5,292.80","5,526.60","5,122.00",14.41B,4.42%
2014-09-01,"5,292.80","5,625.90","5,672.70","5,253.10",13.02B,-5.92%
2014-08-01,"5,625.90","5,632.90","5,679.50","5,425.20",12.63B,-0.12%
2014-07-01,"5,632.90","5,395.70","5,644.20","5,370.90",12.09B,4.40%
2014-06-01,"5,395.70","5,484.10","5,526.00","5,373.60",12.43B,-1.76%
2014-05-01,"5,492.50","5,489.10","5,541.70","5,372.10",12.37B,0.06%
2014-04-01,"5,489.10","5,394.80","5,554.50","5,350.50",10.54B,1.75%
2014-03-01,"5,394.80","5,404.80","5,462.30","5,288.50",15.04B,-0.19%
2014-02-01,"5,404.80","5,190.00","5,461.70","5,052.20",13.69B,4.14%
2014-01-01,"5,190.00","5,352.20","5,383.40","5,158.90",10.81B,-3.03%
2013-12-01,"5,352.20","5,320.00","5,367.40","5,028.20",12.43B,0.60%
2013-11-01,"5,320.10","5,425.50","5,439.20","5,284.90",12.46B,-1.94%
2013-10-01,"5,425.50","5,218.90","5,457.30","5,118.90",12.75B,3.96%
2013-09-01,"5,218.90","5,135.00","5,314.30","5,115.10",13.75B,1.63%
2013-08-01,"5,135.00","5,052.00","5,168.20","5,007.90",14.91B,1.64%
2013-07-01,"5,052.00","4,802.60","5,098.50","4,702.70",14.33B,5.19%
2013-06-01,"4,802.60","4,926.60","4,933.30","4,632.30",15.15B,-2.52%
2013-05-01,"4,926.60","5,187.30","5,249.60","4,897.90",17.14B,-5.10%
2013-04-01,"5,191.20","4,966.50","5,195.10","4,883.70",14.58B,4.52%
2013-03-01,"4,966.50","5,104.10","5,163.50","4,927.90",15.31B,-2.70%
2013-02-01,"5,104.10","4,878.80","5,112.50","4,869.50",15.11B,4.62%
2013-01-01,"4,878.80","4,648.90","4,906.20","4,648.90",13.14B,4.94%
